iter	Passed	Remaining
0	163	162881
1	191	95357
2	215	71547
3	234	58371
4	253	50475
5	271	45059
6	289	41128
7	308	38271
8	327	36022
9	346	34261
10	365	32889
11	383	31605
12	402	30587
13	424	29875
14	444	29187
15	460	28348
16	477	27585
17	493	26942
18	510	26371
19	529	25946
20	545	25438
21	564	25092
22	587	24938
23	607	24710
24	643	25086
25	670	25123
26	701	25262
27	732	25418
28	760	25462
29	787	25455
30	811	25360
31	833	25215
32	864	25332
33	888	25232
34	916	25261
35	953	25524
36	981	25555
37	1009	25565
38	1045	25773
39	1095	26281
40	1147	26832
41	1211	27635
42	1248	27789
43	1273	27674
44	1293	27455
45	1314	27267
46	1337	27112
47	1361	27012
48	1384	26871
49	1408	26757
50	1428	26574
51	1454	26508
52	1474	26337
53	1494	26173
54	1518	26092
55	1537	25921
56	1559	25805
57	1584	25736
58	1604	25595
59	1627	25495
60	1650	25413
61	1673	25312
62	1694	25199
63	1714	25081
64	1735	24968
65	1756	24862
66	1777	24746
67	1796	24621
68	1816	24513
69	1838	24432
70	1865	24413
71	1885	24304
72	1911	24276
73	1929	24144
74	1946	24004
75	1962	23861
76	1978	23718
77	1995	23587
78	2013	23473
79	2033	23387
80	2055	23318
81	2073	23214
82	2090	23094
83	2108	22989
84	2125	22878
85	2144	22788
86	2167	22746
87	2215	22955
88	2257	23108
89	2278	23040
90	2302	23000
91	2326	22964
92	2345	22872
93	2368	22824
94	2393	22797
95	2410	22701
96	2440	22719
97	2476	22795
98	2499	22744
99	2529	22761
100	2557	22766
101	2577	22690
102	2600	22648
103	2622	22590
104	2642	22527
105	2669	22513
106	2702	22550
107	2725	22511
108	2750	22480
109	2769	22411
110	2788	22335
111	2806	22254
112	2825	22179
113	2842	22092
114	2859	22004
115	2880	21948
116	2897	21867
117	2917	21807
118	2934	21725
119	2951	21642
120	2976	21620
121	2997	21573
122	3022	21550
123	3047	21527
124	3075	21526
125	3106	21545
126	3152	21669
127	3186	21706
128	3209	21669
129	3232	21630
130	3253	21582
131	3279	21562
132	3298	21503
133	3322	21473
134	3350	21468
135	3370	21410
136	3401	21427
137	3433	21444
138	3471	21505
139	3508	21555
140	3534	21532
141	3561	21521
142	3584	21481
143	3609	21455
144	3628	21398
145	3649	21349
146	3668	21287
147	3686	21224
148	3704	21159
149	3722	21095
150	3744	21053
151	3764	20999
152	3782	20941
153	3802	20889
154	3819	20823
155	3836	20754
156	3852	20688
157	3871	20631
158	3888	20567
159	3905	20504
160	3924	20451
161	3941	20390
162	3959	20332
163	3980	20292
164	3999	20241
165	4028	20241
166	4051	20208
167	4073	20174
168	4102	20171
169	4136	20195
170	4157	20154
171	4187	20157
172	4205	20104
173	4224	20054
174	4242	20002
175	4262	19957
176	4282	19910
177	4300	19858
178	4322	19823
179	4347	19807
180	4365	19753
181	4383	19700
182	4401	19652
183	4420	19603
184	4437	19547
185	4456	19504
186	4473	19450
187	4491	19400
188	4510	19352
189	4533	19326
190	4555	19294
191	4576	19257
192	4594	19209
193	4615	19177
194	4635	19137
195	4659	19115
196	4677	19067
197	4696	19023
198	4714	18976
199	4732	18929
200	4752	18892
201	4777	18874
202	4797	18837
203	4815	18791
204	4833	18743
205	4852	18702
206	4869	18653
207	4889	18616
208	4907	18574
209	4926	18533
210	4945	18493
211	4965	18456
212	4987	18429
213	5017	18429
214	5045	18423
215	5066	18390
216	5088	18362
217	5115	18350
218	5139	18328
219	5159	18293
220	5176	18247
221	5194	18202
222	5211	18158
223	5231	18122
224	5253	18093
225	5269	18047
226	5284	17995
227	5301	17950
228	5319	17910
229	5335	17863
230	5353	17820
231	5372	17783
232	5391	17747
233	5409	17708
234	5432	17682
235	5449	17640
236	5469	17607
237	5492	17585
238	5510	17546
239	5528	17506
240	5546	17467
241	5563	17426
242	5580	17385
243	5600	17352
244	5617	17311
245	5634	17269
246	5652	17231
247	5670	17195
248	5687	17154
249	5706	17118
250	5723	17077
251	5740	17037
252	5756	16995
253	5779	16975
254	5796	16936
255	5813	16894
256	5833	16865
257	5850	16827
258	5869	16791
259	5886	16753
260	5904	16718
261	5921	16679
262	5937	16639
263	5955	16602
264	5973	16566
265	5988	16525
266	6004	16483
267	6021	16446
268	6038	16408
269	6056	16373
270	6073	16337
271	6092	16306
272	6111	16274
273	6130	16243
274	6148	16209
275	6171	16190
276	6188	16153
277	6213	16136
278	6231	16103
279	6248	16068
280	6266	16033
281	6287	16009
282	6307	15979
283	6325	15947
284	6343	15915
285	6362	15883
286	6378	15847
287	6395	15811
288	6413	15778
289	6432	15749
290	6448	15710
291	6464	15673
292	6480	15638
293	6498	15606
294	6515	15569
295	6531	15533
296	6548	15499
297	6567	15471
298	6585	15438
299	6606	15415
300	6626	15387
301	6644	15357
302	6662	15325
303	6683	15302
304	6705	15279
305	6723	15248
306	6748	15232
307	6774	15221
308	6795	15195
309	6812	15162
310	6828	15128
311	6844	15093
312	6861	15061
313	6878	15027
314	6895	14994
315	6912	14962
316	6928	14928
317	6946	14897
318	6965	14870
319	6984	14841
320	7002	14811
321	7020	14781
322	7037	14750
323	7057	14724
324	7078	14701
325	7098	14677
326	7117	14649
327	7142	14633
328	7160	14603
329	7177	14573
330	7198	14550
331	7221	14530
332	7240	14503
333	7259	14475
334	7280	14453
335	7302	14430
336	7326	14414
337	7345	14387
338	7364	14359
339	7386	14339
340	7406	14313
341	7426	14287
342	7442	14256
343	7463	14233
344	7481	14204
345	7498	14174
346	7523	14158
347	7542	14130
348	7560	14102
349	7578	14074
350	7597	14047
351	7614	14017
352	7633	13990
353	7653	13966
354	7671	13937
355	7688	13907
356	7704	13877
357	7722	13848
358	7739	13819
359	7757	13791
360	7775	13763
361	7800	13747
362	7821	13724
363	7841	13701
364	7859	13673
365	7880	13650
366	7898	13624
367	7918	13598
368	7939	13577
369	7957	13549
370	7976	13523
371	7996	13499
372	8017	13477
373	8034	13448
374	8052	13421
375	8074	13400
376	8099	13385
377	8117	13357
378	8138	13334
379	8157	13309
380	8175	13281
381	8193	13255
382	8212	13229
383	8230	13203
384	8246	13173
385	8262	13142
386	8279	13114
387	8297	13087
388	8314	13060
389	8335	13037
390	8353	13011
391	8373	12987
392	8392	12963
393	8412	12938
394	8431	12913
395	8449	12887
396	8467	12861
397	8484	12833
398	8501	12805
399	8522	12783
400	8540	12757
401	8556	12728
402	8575	12703
403	8596	12681
404	8612	12653
405	8632	12629
406	8650	12603
407	8672	12583
408	8691	12559
409	8710	12534
410	8729	12510
411	8749	12486
412	8769	12463
413	8787	12438
414	8806	12413
415	8823	12386
416	8908	12455
417	8952	12465
418	8975	12445
419	8991	12417
420	9009	12390
421	9028	12365
422	9046	12339
423	9062	12310
424	9078	12283
425	9096	12256
426	9114	12230
427	9131	12203
428	9147	12175
429	9163	12147
430	9181	12121
431	9201	12098
432	9221	12074
433	9242	12053
434	9265	12034
435	9285	12010
436	9306	11990
437	9327	11968
438	9348	11946
439	9371	11927
440	9394	11907
441	9416	11887
442	9451	11883
443	9474	11865
444	9497	11845
445	9520	11826
446	9543	11806
447	9564	11784
448	9593	11772
449	9633	11773
450	9658	11757
451	9687	11745
452	9719	11736
453	9744	11718
454	9770	11703
455	9798	11689
456	9823	11672
457	9848	11654
458	9872	11636
459	9892	11612
460	9919	11598
461	9947	11583
462	9970	11563
463	9997	11548
464	10018	11526
465	10048	11514
466	10071	11494
467	10093	11473
468	10112	11449
469	10139	11434
470	10161	11412
471	10179	11386
472	10196	11361
473	10214	11335
474	10231	11308
475	10247	11281
476	10268	11258
477	10289	11236
478	10309	11213
479	10330	11191
480	10347	11164
481	10363	11137
482	10383	11114
483	10402	11090
484	10421	11066
485	10440	11041
486	10459	11018
487	10477	10992
488	10497	10969
489	10516	10945
490	10532	10918
491	10548	10891
492	10566	10866
493	10583	10841
494	10600	10814
495	10616	10787
496	10634	10762
497	10652	10738
498	10670	10712
499	10688	10688
500	10713	10671
501	10734	10648
502	10753	10625
503	10778	10607
504	10799	10585
505	10820	10563
506	10846	10547
507	10865	10523
508	10883	10498
509	10901	10474
510	10922	10452
511	10940	10427
512	10963	10407
513	10983	10384
514	11001	10360
515	11024	10341
516	11042	10316
517	11061	10292
518	11079	10268
519	11097	10243
520	11116	10220
521	11134	10196
522	11154	10173
523	11173	10149
524	11190	10125
525	11209	10101
526	11227	10077
527	11245	10052
528	11262	10027
529	11279	10002
530	11295	9976
531	11312	9951
532	11329	9926
533	11350	9904
534	11368	9880
535	11386	9857
536	11405	9833
537	11425	9811
538	11450	9793
539	11472	9773
540	11494	9752
541	11512	9728
542	11532	9706
543	11551	9683
544	11570	9660
545	11588	9635
546	11607	9613
547	11625	9588
548	11650	9570
549	11667	9545
550	11683	9520
551	11700	9496
552	11717	9471
553	11735	9447
554	11753	9423
555	11769	9398
556	11786	9373
557	11804	9350
558	11820	9325
559	11838	9301
560	11855	9277
561	11873	9253
562	11889	9228
563	11909	9206
564	11929	9184
565	11948	9162
566	11970	9141
567	11997	9125
568	12018	9103
569	12038	9081
570	12061	9061
571	12080	9038
572	12097	9015
573	12115	8991
574	12133	8968
575	12153	8946
576	12170	8922
577	12187	8898
578	12204	8874
579	12222	8850
580	12238	8826
581	12256	8803
582	12274	8779
583	12296	8759
584	12317	8738
585	12339	8717
586	12357	8694
587	12377	8672
588	12397	8650
589	12416	8628
590	12438	8608
591	12457	8585
592	12475	8562
593	12495	8540
594	12513	8517
595	12530	8493
596	12551	8472
597	12567	8448
598	12583	8424
599	12600	8400
600	12617	8376
601	12634	8353
602	12652	8329
603	12671	8307
604	12687	8283
605	12704	8260
606	12721	8236
607	12738	8212
608	12757	8190
609	12776	8168
610	12800	8149
611	12820	8128
612	12839	8105
613	12866	8088
614	12886	8067
615	12907	8046
616	12929	8025
617	12953	8006
618	12971	7984
619	12992	7962
620	13011	7941
621	13029	7918
622	13046	7895
623	13065	7872
624	13083	7849
625	13099	7826
626	13115	7802
627	13131	7778
628	13148	7755
629	13165	7732
630	13183	7709
631	13201	7686
632	13217	7663
633	13235	7640
634	13251	7617
635	13268	7594
636	13286	7571
637	13302	7548
638	13320	7525
639	13338	7503
640	13358	7481
641	13377	7459
642	13397	7438
643	13420	7418
644	13449	7402
645	13476	7385
646	13496	7363
647	13517	7342
648	13543	7324
649	13562	7303
650	13584	7282
651	13604	7261
652	13621	7238
653	13638	7215
654	13655	7192
655	13675	7171
656	13693	7148
657	13711	7126
658	13729	7104
659	13746	7081
660	13763	7058
661	13779	7035
662	13796	7012
663	13814	6990
664	13831	6967
665	13849	6945
666	13866	6922
667	13883	6900
668	13902	6878
669	13920	6856
670	13937	6833
671	13953	6810
672	13970	6788
673	13986	6764
674	14002	6742
675	14019	6719
676	14035	6696
677	14052	6673
678	14068	6651
679	14084	6627
680	14101	6605
681	14119	6583
682	14135	6560
683	14152	6538
684	14170	6516
685	14187	6494
686	14206	6472
687	14223	6449
688	14242	6428
689	14260	6406
690	14276	6384
691	14293	6361
692	14311	6339
693	14327	6317
694	14343	6294
695	14359	6271
696	14378	6250
697	14395	6228
698	14410	6205
699	14425	6182
700	14442	6160
701	14459	6138
702	14475	6115
703	14492	6093
704	14509	6071
705	14525	6048
706	14542	6027
707	14561	6005
708	14578	5983
709	14597	5962
710	14614	5940
711	14632	5918
712	14650	5897
713	14670	5876
714	14689	5855
715	14709	5834
716	14730	5814
717	14758	5796
718	14777	5775
719	14797	5754
720	14820	5734
721	14840	5714
722	14857	5692
723	14874	5670
724	14893	5649
725	14913	5628
726	14933	5607
727	14956	5587
728	14976	5567
729	14998	5547
730	15021	5527
731	15049	5509
732	15071	5489
733	15093	5469
734	15113	5449
735	15130	5427
736	15147	5405
737	15165	5383
738	15183	5362
739	15200	5340
740	15216	5318
741	15233	5296
742	15251	5275
743	15269	5254
744	15287	5232
745	15307	5212
746	15325	5190
747	15347	5170
748	15374	5152
749	15401	5133
750	15423	5113
751	15446	5094
752	15466	5073
753	15485	5052
754	15506	5031
755	15524	5010
756	15540	4988
757	15557	4966
758	15572	4944
759	15591	4923
760	15611	4902
761	15628	4881
762	15646	4860
763	15664	4838
764	15683	4817
765	15700	4796
766	15718	4774
767	15735	4753
768	15753	4732
769	15775	4712
770	15799	4692
771	15823	4673
772	15844	4652
773	15864	4632
774	15884	4611
775	15907	4591
776	15925	4570
777	15944	4549
778	15967	4529
779	15991	4510
780	16011	4489
781	16031	4469
782	16049	4447
783	16071	4427
784	16092	4407
785	16120	4388
786	16155	4372
787	16187	4355
788	16206	4334
789	16225	4313
790	16246	4292
791	16266	4271
792	16287	4251
793	16308	4231
794	16324	4209
795	16341	4188
796	16360	4166
797	16378	4145
798	16396	4124
799	16412	4103
800	16428	4081
801	16445	4060
802	16460	4038
803	16476	4016
804	16494	3995
805	16511	3974
806	16529	3953
807	16546	3931
808	16563	3910
809	16583	3890
810	16604	3869
811	16624	3849
812	16649	3829
813	16668	3808
814	16690	3788
815	16710	3768
816	16730	3747
817	16751	3727
818	16771	3706
819	16788	3685
820	16807	3664
821	16826	3643
822	16844	3622
823	16861	3601
824	16877	3580
825	16895	3559
826	16910	3537
827	16928	3516
828	16947	3495
829	16962	3474
830	16981	3453
831	17000	3432
832	17021	3412
833	17045	3392
834	17074	3374
835	17102	3355
836	17125	3335
837	17154	3316
838	17184	3297
839	17207	3277
840	17229	3257
841	17248	3236
842	17270	3216
843	17293	3196
844	17312	3175
845	17332	3155
846	17358	3135
847	17375	3114
848	17393	3093
849	17411	3072
850	17433	3052
851	17452	3031
852	17470	3010
853	17492	2990
854	17510	2969
855	17530	2948
856	17548	2928
857	17567	2907
858	17586	2886
859	17606	2866
860	17624	2845
861	17642	2824
862	17662	2803
863	17681	2783
864	17701	2762
865	17719	2741
866	17739	2721
867	17759	2700
868	17778	2680
869	17797	2659
870	17819	2639
871	17840	2618
872	17859	2598
873	17878	2577
874	17899	2557
875	17920	2536
876	17943	2516
877	17968	2496
878	17992	2476
879	18014	2456
880	18035	2436
881	18055	2415
882	18077	2395
883	18098	2374
884	18120	2354
885	18140	2334
886	18160	2313
887	18178	2292
888	18198	2272
889	18219	2251
890	18236	2230
891	18254	2210
892	18272	2189
893	18289	2168
894	18306	2147
895	18324	2126
896	18340	2106
897	18358	2085
898	18377	2064
899	18396	2044
900	18414	2023
901	18431	2002
902	18448	1981
903	18465	1960
904	18483	1940
905	18501	1919
906	18519	1898
907	18537	1878
908	18554	1857
909	18572	1836
910	18588	1816
911	18605	1795
912	18622	1774
913	18640	1753
914	18660	1733
915	18680	1713
916	18697	1692
917	18718	1672
918	18738	1651
919	18756	1631
920	18776	1610
921	18793	1589
922	18811	1569
923	18830	1548
924	18849	1528
925	18868	1507
926	18888	1487
927	18911	1467
928	18931	1446
929	18953	1426
930	18984	1407
931	19015	1387
932	19038	1367
933	19071	1347
934	19133	1330
935	19191	1312
936	19249	1294
937	19275	1274
938	19294	1253
939	19314	1232
940	19334	1212
941	19353	1191
942	19372	1170
943	19393	1150
944	19412	1129
945	19431	1109
946	19453	1088
947	19480	1068
948	19510	1048
949	19540	1028
950	19565	1008
951	19594	987
952	19627	967
953	19646	947
954	19668	926
955	19686	906
956	19707	885
957	19727	864
958	19745	844
959	19762	823
960	19782	802
961	19800	782
962	19828	761
963	19868	741
964	19908	722
965	19973	702
966	20027	683
967	20087	664
968	20127	643
969	20213	625
970	20229	604
971	20249	583
972	20266	562
973	20284	541
974	20303	520
975	20321	499
976	20339	478
977	20356	457
978	20374	437
979	20398	416
980	20417	395
981	20435	374
982	20454	353
983	20473	332
984	20492	312
985	20512	291
986	20530	270
987	20548	249
988	20566	228
989	20583	207
990	20602	187
991	20620	166
992	20639	145
993	20658	124
